siruta,populatie
51626,1096
51751,2840
105419,4961
51804,3071
52062,1087
51877,2589
52696,1879
127983,5113
51948,1511
51984,1315
52035,622
52160,3143
52650,1676
52721,1371
52758,1181
132011,2105
52785,1877
52954,772
52856,1652
52936,1733
52990,1856
53023,2224
53069,1030
53103,1601
53130,2503
53167,2572
87246,1200
133562,2894
53210,1148
53247,2579
53675,1882
53274,3867
53425,2353
134755,2304
128524,2946
53327,848
53372,3088
53577,2570
135896,4412
53639,1529
53728,1756
179285,13229
53755,1446
179310,8688
128472,3232
53791,1546
54056,2962
54305,1908
54412,3262
54270,3803
54350,1647
54485,703
54500,1302
54699,951
54537,1520
54573,1014
77812,78553
54617,3729
77910,7262
78016,4934
78089,2213
80427,2044
79656,1604
80677,1870
79736,2125
80123,3882
80365,1881
111220,636
110740,1501
111275,5252
81095,4779
86687,56647
81576,5242
111417,1335
81987,1676
82136,2297
82396,2392
179873,1975
111818,648
30149,5000
30229,2720
111587,1531
82430,6862
86749,666
30871,1851
30416,1554
86810,55384
87175,22906
134050,5693
86883,1927
86936,2283
87219,4225
88216,124
87059,21986
87139,8618
87424,10541
87576,9340
87638,17255
83428,1617
87665,11894
155797,2725
87996,2640
88047,1784
88644,3021
88261,3035
88449,2072
89026,292
90663,1920
146370,8770
134194,3854
89151,470
89240,3034
89348,1570
89856,3594
89428,3273
155403,6504
110946,2233
89561,5049
89801,2183
147036,3550
90262,935
140244,1538
134853,2233
90066,395
90431,1175
90119,894
90725,1318
51449,2795
90342,2062
90538,4019
91688,1709
90878,3099
91731,890
90994,2546
91054,1195
155458,5963
91116,2330
91232,3150
155591,2520
91330,3279
91535,705
91624,1869
91982,2835
110027,936
109924,5202
112995,2420
111550,2424
110456,1106
112370,2122
155243,303708
155314,8122
155350,37321
155840,3007
155957,1604
156035,446
156106,2350
156311,2133
156151,652
156357,5028
156473,3422
156534,1511
156623,2953
159446,1886
156927,1697
157004,1676
157031,2948
157086,5449
157273,1203
157317,2925
157497,3586
157362,2881
157834,5810
157898,2760
158699,5695
157923,1453
158065,4807
158136,1099
158243,3047
125098,2135
39942,1852
25825,4836
100683,14053
107546,3171
9627,7185
9654,6651
74705,1314
74907,2331
92783,1273
159437,2129
158779,2923
74359,1575
106782,4862
153623,2446
151763,2468
159516,1511
74135,1012
113625,3038
113698,1328
124206,9618
125472,28673
158895,2061
159035,2603
125490,1767
159142,2362
76638,1774
126406,3519
126718,3711
129095,2358
130384,1268
169583,1521
159375,1736
159491,1525
173132,1237
159525,1441
129763,2684
9690,5831
46484,4609
130026,1918
132342,3194
51056,11349
93067,3206
126585,3789
52570,1622
126647,3050
126825,1516
126978,3855
127368,4663
30915,11113
30988,2985
127386,3380
31011,4264
172279,1655
130062,2119
52909,1248
9743,2503
9798,3084
10195,3103
9832,1494
35731,100899
130320,1471
130339,1634
120496,1592
9887,1069
133919,1200
135146,1908
9930,3022
10239,1154
31128,2534
130357,1558
51840,1000
10293,3367
10373,2667
151834,4026
79157,3480
53513,2585
153972,1314
154184,3060
154736,1825
151870,24222
152350,3362
152467,2203
10417,1311
10514,2463
152724,1281
82779,2660
10532,2728
80249,2509
80846,5051
135226,1231
31422,2433
11307,669
11664,1517
12037,3449
81184,3664
159473,3011
65413,4510
132841,1054
130348,1428
137185,3526
151521,2084
147660,2711
179944,1225
143021,2187
136553,3027
138501,1572
179150,304523
86311,1572
117113,3725
18242,3490
13187,9911
16454,3178
40465,7067
179917,1532
145792,2455
172340,2822
47578,2020
104270,2662
105259,4412
135681,959
124634,6196
167286,1659
75515,4680
61620,11658
63286,2750
180046,2594
156669,2870
157424,3468
53853,2195
54109,1873
81264,6136
81656,1731
112904,768
112959,849
113153,1035
113233,1952
113395,2592
113466,1323
113929,1705
113974,1662
114060,1739
114079,1551
82617,7017
82895,11740
152948,2898
155092,1342
69964,4005
128588,4207
70110,6656
72007,11861
94731,1808
64639,4353
72098,2392
72150,2109
72640,2689
72463,3003
72506,2004
72579,2284
73852,1360
73996,6516
74028,2231
74581,5360
74842,1741
126380,2437
74750,2811
74915,1909
74923,1427
74949,2364
125622,10033
125659,1994
125962,4786
127493,4089
127536,1629
127714,1230
127750,2855
151683,22268
151736,5127
152252,2822
153026,2856
153106,2530
153507,7274
153543,6196
40198,227961
40214,4539
40688,4114
40303,4433
40367,14081
40438,26907
40526,2989
40606,3771
40900,4315
38544,2622
40955,5685
41033,4104
105623,7667
41382,2817
41541,1936
42003,7820
42058,4009
42498,1716
63394,54312
63777,1715
63866,2814
63893,2541
64238,1519
64265,2112
64345,2596
127689,3287
64906,2185
65113,1527
65869,4000
66198,8121
66330,4555
67522,4150
67595,7075
67648,5308
68468,8496
68529,3344
68627,6638
101378,3822
101519,1533
101564,2372
129380,2629
101617,3904
101840,5312
101957,5972
101984,3629
102348,5127
102794,9028
103238,5596
103309,1905
103407,3501
103899,3794
105972,4850
104047,3591
104225,2627
104485,4751
104715,2407
104788,2473
104831,7839
131103,15558
132075,8493
104975,1889
105295,2885
105534,5702
131210,8553
131336,11732
131540,9975
135618,2114
135654,1069
135789,5448
153240,2711
136107,6100
136198,3404
152083,3809
151905,11112
151932,1552
151978,12954
